uniprotcode,family_name_cache,species_name_cache,membrane_name_cache,species_id,family_id,superfamily_id,classtype_id,type_id,sequence_length,sequence_length_bin
OMPA_ECOLI,OmpA family,Escherichia coli,Gram-neg. outer,s9,f34,sf26,c2,t1,346,300-500
OMPX_ECOLI,Enterobacterial Ail/Lom protein,Escherichia coli,Gram-neg. outer,s9,f355,sf26,c2,t1,171,100-300
Q9RP17_NEIME,Opacity porins,Neisseria meningitidis,Gram-neg. outer,s24,f337,sf235,c2,t1,174,100-300
M2_I97A1,Influenza virus matrix protein 2,Influenza A virus,Viral,s51,f263,sf185,c11,t1,97,0-100
COLY_YERPE,"OM protease omptin, OMPT",Yersinia pestis,Gram-neg. outer,s299,f36,sf27,c2,t1,312,300-500
KES1_YEAST,OSBP-related proteins,Saccharomyces cerevisiae,Golgi,s36,f126,sf164,c6,t2,434,300-500
Q51227_NEIME,OM adhesion protein OpcA,Neisseria meningitidis,Gram-neg. outer,s24,f37,sf240,c2,t1,272,100-300
NALP_NEIMH,Autotransporters of N-terminal passenger domain,Neisseria meningitidis,Gram-neg. outer,s24,f38,sf28,c2,t1,1083,1000-2000
PA1_ECOLI,"OM phospholipase A, OmpLA",Escherichia coli,Gram-neg. outer,s9,f39,sf29,c2,t1,289,100-300
TSX_ECOLI,Nucleoside transporter Tsx,Escherichia coli,Gram-neg. outer,s9,f40,sf9,c2,t1,294,100-300
FADL_ECOLI,Fatty acid transporter FadL family,Escherichia coli,Gram-neg. outer,s9,f41,sf30,c2,t1,446,300-500
OMPF_ECOLI,General Bacterial Porin (GBP),Escherichia coli,Gram-neg. outer,s9,f42,sf31,c2,t1,362,300-500
OMPC_KLEPN,General Bacterial Porin (GBP),Klebsiella pneumoniae,Gram-neg. outer,s16,f42,sf31,c2,t1,363,300-500
OMP32_DELAC,General Bacterial Porin (GBP),Comamonas acidovorans,Gram-neg. outer,s8,f42,sf31,c2,t1,351,300-500
PORI_RHOCA,Rhodobacter PorCa Porin (RPP),Rhodobacter capsulatus,Gram-neg. outer,s30,f82,sf31,c2,t1,301,300-500
PORI_FUSBL,Rhodobacter PorCa Porin (RPP),Rhodopseudomonas blastica,Gram-neg. outer,s33,f82,sf31,c2,t1,289,100-300
LAMB_ECOLI,Malptoporin-like proteins,Escherichia coli,Gram-neg. outer,s9,f43,sf32,c2,t1,446,300-500
LAMB_SALTY,Malptoporin-like proteins,Salmonella enterica,Gram-neg. outer,s269,f43,sf32,c2,t1,452,300-500
SCRY_SALTM,Malptoporin-like proteins,Salmonella enterica,Gram-neg. outer,s269,f43,sf32,c2,t1,505,500-1000
FHUA_ECOLI,Outer Membrane Receptor (OMR),Escherichia coli,Gram-neg. outer,s9,f83,sf33,c2,t1,747,500-1000
FEPA_ECOLI,Outer Membrane Receptor (OMR),Escherichia coli,Gram-neg. outer,s9,f83,sf33,c2,t1,746,500-1000
FECA_ECOLI,Outer Membrane Receptor (OMR),Escherichia coli,Gram-neg. outer,s9,f83,sf33,c2,t1,774,500-1000
BTUB_ECOLI,Outer Membrane Receptor (OMR),Escherichia coli,Gram-neg. outer,s9,f83,sf33,c2,t1,614,500-1000
FPVA_PSEAE,Outer Membrane Receptor (OMR),Pseudomonas aeruginosa,Gram-neg. outer,s28,f83,sf33,c2,t1,815,500-1000
Q9KS51_VIBCH,Outer membrane efflux proteins,Vibrio cholerae,Gram-neg. outer,s45,f45,sf34,c2,t1,484,300-500
OPRM_PSEAE,Outer membrane efflux proteins,Pseudomonas aeruginosa,Gram-neg. outer,s28,f45,sf34,c2,t1,485,300-500
HLA_STAAU,"Aerolysin (n=14,S=14 or n=16,S=16)",Staphylococcus aureus,Secreted,s38,f46,sf35,c2,t1,319,300-500
MSPA_MYCS2,"Mycobacterial Porin (MBP) (n=16,S=16)",Mycolicibacterium smegmatis,Gram-pos. outer,s22,f47,sf268,c2,t1,211,100-300
F2Z293_SPIOL,Light-harvesting complexes from chloroplasts,Spinacia oleracea,Thylakoid,s37,f2,sf2,c1,t1,243,100-300
CLCA_SALTY,Chloride transporter,Salmonella enterica,Gram-neg. inner,s269,f18,sf10,c1,t1,473,300-500
MSCS_ECOLI,Small conductance mechanosensitive ion channels,Escherichia coli,Gram-neg. inner,s9,f19,sf11,c1,t1,286,100-300
MSCL_MYCTA,Large conductance mechanosensitive ion channel (MscL),Mycobacterium tuberculosis,Gram-pos. inner,s21,f20,sf12,c1,t1,151,100-300
AQPZ_ECOLI,Major intrinsic protein (MIP) family,Escherichia coli,Gram-neg. inner,s9,f15,sf7,c1,t1,231,100-300
GLPF_ECOLI,Major intrinsic protein (MIP) family,Escherichia coli,Gram-neg. inner,s9,f15,sf7,c1,t1,281,100-300
AMTB_ECOLI,Ammonia transporter Amt,Escherichia coli,Gram-neg. inner,s9,f21,sf13,c1,t1,428,300-500
MIP_BOVIN,Major intrinsic protein (MIP) family,Bos taurus,Eykaryo. plasma,s6,f15,sf7,c1,t1,263,100-300
LACY_ECOLI,LacY-like proton/sugar symporter,Escherichia coli,Gram-neg. inner,s9,f77,sf15,c1,t1,417,300-500
GLPT_ECOLI,Glycerol-3-phosphate transporter,Escherichia coli,Gram-neg. inner,s9,f23,sf15,c1,t1,452,300-500
CB2A_SPIOL,Light-harvesting complexes from chloroplasts,Spinacia oleracea,Thylakoid,s37,f2,sf2,c1,t1,267,100-300
Q93RD8_THETI,Photosynthetic reaction centers from bacteria,Thermochromatium tepidum,Thylakoid,s42,f3,sf2,c1,t1,255,100-300
KCJ12_CHICK,Inward rectifier potassium channels,Gallus gallus,Eykaryo. plasma,s11,f17,sf8,c1,t1,429,300-500
KCSA_STRCO,KcsA voltage-gated K+ channels,Streptomyces coelicolor,Gram-pos. inner,s39,f16,sf8,c1,t1,160,100-300
P83698_BURPE,Inward rectifier potassium channels,Burkholderia pseudomallei,Gram-neg. inner,s5,f17,sf8,c1,t1,333,300-500
Q8YSC4_NOSS1,Microbial and algal rhodopsins,Nostoc sp.,Gram-neg. inner,s2,f13,sf6,c1,t1,261,100-300
OPSD_BOVIN,"G-protein coupled receptors, family A",Bos taurus,Eykaryo. plasma,s6,f14,sf6,c1,t1,348,300-500
ATPL_ECOLI,V-type and F-type ATPases,Escherichia coli,Gram-neg. inner,s9,f12,sf5,c1,t1,79,0-100
ATPL_ILYTA,V-type and F-type ATPases,Ilyobacter tartaricus,Gram-neg. inner,s15,f12,sf5,c1,t1,89,0-100
