identifier,phrog,product,function
phage_0001,p-118,head-tail adaptor,connector
phage_0002,p-1076,FmdB-like transcriptional regulator,transcription regulation
phage_0003,p-952,Rz-like spanin,lysis
phage_0004,p-4611,minor head protein,head and packaging
phage_0005,p-6050,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0006,p-1407,major tail protein,tail
phage_0007,p-9961,,unknown function
phage_0008,p-597,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0009,p-4372,tail length tape measure protein,tail
phage_0010,p-23013,tail length tape measure protein,tail
phage_0011,p-4008,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0012,p-456,Rz-like spanin,lysis
phage_0013,p-37064,tail fiber protein,tail
phage_0014,p-35,transcriptional repressor,transcription regulation
phage_0015,p-2880,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_0016,p-314,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0017,p-4898,holin,lysis
phage_0018,p-26716,polymerase,"DNA, RNA and nucleotide metabolism"
phage_0019,p-1357,major head protein,head and packaging
phage_0020,p-95,integrase,integration and excision
phage_0021,p-1530,DNA methyltransferase,other
phage_0022,p-13481,tail fiber protein,tail
phage_0023,p-2328,transcriptional repressor,transcription regulation
phage_0024,p-3139,aminotransferase,other
phage_0025,p-26675,endolysin,lysis
phage_0026,p-2760,RecT-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_0027,p-25848,tail fiber protein,tail
phage_0028,p-29226,,unknown function
phage_0029,p-4,transcriptional repressor,transcription regulation
phage_0030,p-26446,anaerobic ribonucleoside reductase large subunit,"DNA, RNA and nucleotide metabolism"
phage_0031,p-1238,phosphoheptose isomerase,"moron, auxiliary metabolic gene and host takeover"
phage_0032,p-2551,minor tail protein,tail
phage_0033,p-6078,,unknown function
phage_0034,p-3267,tail protein,tail
phage_0035,p-1517,endolysin,lysis
phage_0036,p-13893,tail protein,tail
phage_0037,p-10304,virion structural protein,head and packaging
phage_0038,p-313,Tail assembly chaperone,tail
phage_0039,p-910,tail collar fiber protein,tail
phage_0040,p-8510,virion structural protein,head and packaging
phage_0041,p-20268,,unknown function
phage_0042,p-6013,tail protein,tail
phage_0043,p-309,terminase small subunit,head and packaging
phage_0044,p-59,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0045,p-58,tail length tape measure protein,tail
phage_0046,p-7032,tail fiber protein,tail
phage_0047,p-12050,virion structural protein,head and packaging
phage_0048,p-991,tail length tape measure protein,tail
phage_0049,p-16089,polymerase,"DNA, RNA and nucleotide metabolism"
phage_0050,p-4267,RNA replicase beta subunit,"DNA, RNA and nucleotide metabolism"
phage_0051,p-339,tail length tape measure protein,tail
phage_0052,p-26,tail completion or Neck1 protein,connector
phage_0053,p-119,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0054,p-1272,tail length tape measure protein,tail
phage_0055,p-25,head closure Hc1,connector
phage_0056,p-3282,sigma factor,transcription regulation
phage_0057,p-61,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover"
phage_0058,p-582,Arc-like repressor,transcription regulation
phage_0059,p-3262,,unknown function
phage_0060,p-4704,tail length tape measure protein,tail
phage_0061,p-18673,tail fiber protein,tail
phage_0062,p-3895,ADP-ribosyltransferase exoenzyme toxin,"moron, auxiliary metabolic gene and host takeover"
phage_0063,p-686,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0064,p-1686,tail length tape measure protein,tail
phage_0065,p-211,head-tail adaptor Ad2,connector
phage_0066,p-18891,tail length tape measure protein,tail
phage_0067,p-5,tail completion or Neck1 protein,connector
phage_0068,p-1530,DNA methyltransferase,other
phage_0069,p-469,tail protein,tail
phage_0070,p-12,portal protein,head and packaging
phage_0071,p-14441,tail length tape measure protein,tail
phage_0072,p-1849,,unknown function
phage_0073,p-4636,tail spike protein,tail
phage_0074,p-677,baseplate wedge tail fiber protein connector,tail
phage_0075,p-350,tail protein,tail
phage_0076,p-10775,tail protein,tail
phage_0077,p-124,Sak4-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_0078,p-7168,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0079,p-6142,baseplate assembly protein,tail
phage_0080,p-1219,tail needle protein,tail
phage_0081,p-351,RNA polymerase sigma factor,transcription regulation
phage_0082,p-328,head maturation protease,head and packaging
phage_0083,p-5060,anti-repressor Ant,transcription regulation
phage_0084,p-13911,virion structural protein,head and packaging
phage_0085,p-10356,virion structural protein,head and packaging
phage_0086,p-523,tail collar fiber protein,tail
phage_0087,p-115,minor head protein,head and packaging
phage_0088,p-198,holin,lysis
phage_0089,p-1975,superoxide dismutase precursor,"moron, auxiliary metabolic gene and host takeover"
phage_0090,p-15789,,unknown function
phage_0091,p-2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0092,p-3927,head scaffolding protein,head and packaging
phage_0093,p-89,Rz-like spanin,lysis
phage_0094,p-20231,tail protein,tail
phage_0095,p-13466,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_0096,p-3139,aminotransferase,other
phage_0097,p-4,transcriptional repressor,transcription regulation
phage_0098,p-3513,endolysin,lysis
phage_0099,p-2170,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0100,p-130,anti-repressor Ant,transcription regulation
phage_0101,p-4936,transcriptional regulator,transcription regulation
phage_0102,p-213,portal protein,head and packaging
phage_0103,p-5073,tail fiber protein,tail
phage_0104,p-3927,head scaffolding protein,head and packaging
phage_0105,p-8003,virion structural protein,head and packaging
phage_0106,p-16120,virion structural protein,head and packaging
phage_0107,p-20428,tail terminator,connector
phage_0108,p-5863,minor head protein,head and packaging
phage_0109,p-3336,tail length tape measure protein,tail
