protein_name,subcellular_location,cellular_location,sequence_length
Q9FK88,Plastid,U,617
Q10139,Mitochondrion,U,105
Q9U298,Cell.membrane,M,474
P21550,Cytoplasm,S,434
Q920Q6,Cytoplasm,S,346
Q93ZM7,Mitochondrion,U,572
Q9P0U4,Nucleus,U,656
Q9BXL8,Nucleus,U,241
Q03213,Nucleus,U,719
Q9NWM8,Endoplasmic.reticulum,S,211
Q9URB4,Cytoplasm,S,359
Q3U9N9,Cell.membrane,M,512
Q96DN0,Endoplasmic.reticulum,S,273
Q940M2,Mitochondrion,U,476
P86854,Extracellular,S,156
Q8VWZ7,Endoplasmic.reticulum,M,493
Q8VYG0,Cell.membrane,M,686
Q9SE43,Nucleus,U,842
P06785,Nucleus,U,304
Q3UB74,Nucleus,U,406
Q9D1N2,Cell.membrane,M,228
P01494,Extracellular,S,87
V5NC32,Extracellular,S,600
O60055,Nucleus,U,2493
O60725,Endoplasmic.reticulum,M,284
P19882,Mitochondrion,S,572
P87108,Mitochondrion,M,93
Q9P940,Cytoplasm,S,248
O74855,Nucleus,U,502
Q6PE84,Cell.membrane,M,287
Q9SYG2,Nucleus,U,383
Q9UTT2,Nucleus,U,1206
P22134,Nucleus,U,296
Q9VXN9,Extracellular,S,345
P86368,Extracellular,S,121
Q9UDY8,Cytoplasm,Nucleus,824
Q8TFF9,Cytoplasm,S,547
Q9P7I2,Cytoplasm,S,335
Q3E756,Cell.membrane,M,94
A8K8P3,Cytoplasm,S,1242
Q96RD9,Cell.membrane,M,977
Q8MKF1,Cytoplasm,S,219
P11930,Peroxisome,U,357
Q9HBA0-5,Cell.membrane,M,837
O75943,Nucleus,U,681
Q9P403,Extracellular,S,230
Q42533,Plastid,U,280
Q9VBL6,Extracellular,S,75
Q8K4C2-4,Cell.membrane,M,683
F4IIS5,Cytoplasm,S,1042
O13807,Nucleus,U,1072
O74740,Nucleus,U,797
Q06835,Nucleus,U,107
Q8W031,Nucleus,U,337
Q08245,Cell.membrane,M,113
Q9SZR3,Nucleus,U,1017
Q04603,Nucleus,U,196
Q9P3A8,Nucleus,U,1220
