uniprotcode,family_name_cache,species_name_cache,membrane_name_cache,species_id,family_id,superfamily_id,classtype_id,type_id,sequence_length,sequence_length_bin
M2_I97A1,Influenza virus matrix protein 2,Influenza A virus,Viral,s51,f263,sf185,c11,t1,97,0-100
OMPF_ECOLI,General Bacterial Porin (GBP),Escherichia coli,Gram-neg. outer,s9,f42,sf31,c2,t1,362,300-500
OMPC_KLEPN,General Bacterial Porin (GBP),Klebsiella pneumoniae,Gram-neg. outer,s16,f42,sf31,c2,t1,363,300-500
OMP32_DELAC,General Bacterial Porin (GBP),Comamonas acidovorans,Gram-neg. outer,s8,f42,sf31,c2,t1,351,300-500
FHUA_ECOLI,Outer Membrane Receptor (OMR),Escherichia coli,Gram-neg. outer,s9,f83,sf33,c2,t1,747,500-1000
FEPA_ECOLI,Outer Membrane Receptor (OMR),Escherichia coli,Gram-neg. outer,s9,f83,sf33,c2,t1,746,500-1000
FECA_ECOLI,Outer Membrane Receptor (OMR),Escherichia coli,Gram-neg. outer,s9,f83,sf33,c2,t1,774,500-1000
BTUB_ECOLI,Outer Membrane Receptor (OMR),Escherichia coli,Gram-neg. outer,s9,f83,sf33,c2,t1,614,500-1000
FPVA_PSEAE,Outer Membrane Receptor (OMR),Pseudomonas aeruginosa,Gram-neg. outer,s28,f83,sf33,c2,t1,815,500-1000
MSCS_ECOLI,Small conductance mechanosensitive ion channels,Escherichia coli,Gram-neg. inner,s9,f19,sf11,c1,t1,286,100-300
AQPZ_ECOLI,Major intrinsic protein (MIP) family,Escherichia coli,Gram-neg. inner,s9,f15,sf7,c1,t1,231,100-300
GLPF_ECOLI,Major intrinsic protein (MIP) family,Escherichia coli,Gram-neg. inner,s9,f15,sf7,c1,t1,281,100-300
MIP_BOVIN,Major intrinsic protein (MIP) family,Bos taurus,Eykaryo. plasma,s6,f15,sf7,c1,t1,263,100-300
Q8YSC4_NOSS1,Microbial and algal rhodopsins,Nostoc sp.,Gram-neg. inner,s2,f13,sf6,c1,t1,261,100-300
OPSD_BOVIN,"G-protein coupled receptors, family A",Bos taurus,Eykaryo. plasma,s6,f14,sf6,c1,t1,348,300-500
BACR_HALSA,Microbial and algal rhodopsins,Halobacterium salinarum,Archaebac.,s12,f13,sf6,c1,t1,262,100-300
BACH_HALSA,Microbial and algal rhodopsins,Halobacterium salinarum,Archaebac.,s12,f13,sf6,c1,t1,274,100-300
BACR1_HALEZ,Microbial and algal rhodopsins,Halobacterium sp.,Archaebac.,s13,f13,sf6,c1,t1,260,100-300
MIP_SHEEP,Major intrinsic protein (MIP) family,Ovis aries,Eykaryo. plasma,s26,f15,sf7,c1,t1,263,100-300
AQP1_BOVIN,Major intrinsic protein (MIP) family,Bos taurus,Eykaryo. plasma,s6,f15,sf7,c1,t1,271,100-300
DEF3_HUMAN,Vertebrate defensin,Homo sapiens,Secreted,s14,f67,sf54,c3,t2,94,0-100
CIRA_CHAPA,Cyclotide,Chassalia parviflora,Secreted,s49,f148,sf112,c3,t2,30,0-100
DMYC_DROME,Invertebrate and fungal defensins,Drosophila melanogaster,Secreted,s50,f72,sf58,c6,t2,70,0-100
BLC_ECOLI,"Retinol binding protein-like (n=8,S=12)",Escherichia coli,Gram-neg. outer,s9,f63,sf50,c3,t2,177,100-300
ANXA5_RAT,Annexins,Rattus norvegicus,Eykaryo. plasma,s54,f54,sf41,c4,t2,319,300-500
SCX3_CENSC,Long-chain scorpion toxins,Centruroides sculpturatus,Secreted,s48,f71,sf58,c6,t2,87,0-100
3SOF5_NAJAT,Snake venom toxins,Naja atra,Secreted,s53,f66,sf53,c3,t2,83,0-100
KPCA_RAT,C2 domain,Rattus norvegicus,Eykaryo. plasma,s54,f60,sf45,c3,t2,672,500-1000
SYT1_RAT,C2 domain,Rattus norvegicus,Eykaryo. plasma,s54,f60,sf45,c3,t2,421,300-500
NCF4_HUMAN,PX domain,Homo sapiens,Endosome,s14,f70,sf57,c6,t2,339,300-500
KPCD_MOUSE,C1 domain,Mus musculus,Eykaryo. plasma,s52,f74,sf60,c3,t2,674,500-1000
BACS2_NATPH,Microbial and algal rhodopsins,Natronomonas pharaonis,Archaebac.,s23,f13,sf6,c1,t1,239,100-300
AQP1_HUMAN,Major intrinsic protein (MIP) family,Homo sapiens,Eykaryo. plasma,s14,f15,sf7,c1,t1,269,100-300
BACR2_HALS2,Microbial and algal rhodopsins,Halobacterium sp.,Archaebac.,s13,f13,sf6,c1,t1,259,100-300
FPTA_PSEAE,Outer Membrane Receptor (OMR),Pseudomonas aeruginosa,Gram-neg. outer,s28,f83,sf33,c2,t1,720,500-1000
PHOE_ECOLI,General Bacterial Porin (GBP),Escherichia coli,Gram-neg. outer,s9,f42,sf31,c2,t1,351,300-500
AQPM_METTM,Major intrinsic protein (MIP) family,Methanothermobacter marburgensis,Archaebac.,s59,f15,sf7,c1,t1,246,100-300
Q41372_SPIOL,Major intrinsic protein (MIP) family,Spinacia oleracea,Eykaryo. plasma,s37,f15,sf7,c1,t1,281,100-300
OPSD_TODPA,"G-protein coupled receptors, family A",Todarodes pacificus,Eykaryo. plasma,s248,f14,sf6,c1,t1,448,300-500
Q8WPZ6_PLAFA,Major intrinsic protein (MIP) family,Plasmodium falciparum,Eykaryo. plasma,s249,f15,sf7,c1,t1,258,100-300
AQP4_RAT,Major intrinsic protein (MIP) family,Rattus norvegicus,Eykaryo. plasma,s54,f15,sf7,c1,t1,323,300-500
CYC6_SYNEL,Cytochrome c,Thermosynechococcus elongatus,Thylakoid,s41,f92,sf71,c4,t2,87,0-100
CYC6_LIMMA,Cytochrome c,Arthrospira maxima,Thylakoid,s85,f92,sf71,c4,t2,89,0-100
CYC6_CLAGO,Cytochrome c,Cladophora glomerata,Thylakoid,s115,f92,sf71,c4,t2,91,0-100
CY552_NITEU,Cytochrome c,Nitrosomonas europaea,Gram-neg. inner,s176,f92,sf71,c4,t2,103,100-300
