protein_name,subcellular_location,cellular_location,sequence_length
Q5I0E9,Cell.membrane,M,566
P63033,Cell.membrane,M,266
Q9NR71,Cell.membrane,M,780
Q86XT9,Cell.membrane,M,240
A2CI98,Cell.membrane,M,653
O75326,Cell.membrane,M,666
P93004,Cell.membrane,M,280
Q96FE7,Cell.membrane,M,263
Q9BSF0,Cell.membrane,M,95
Q6QNK2,Cell.membrane,M,874
Q708S7,Cell.membrane,M,501
Q708S6,Cell.membrane,M,529
O23507,Cell.membrane,M,364
P33527,Cell.membrane,M,1531
Q9NPI9,Cell.membrane,M,418
Q708S8,Cell.membrane,M,557
Q944M5,Cell.membrane,M,251
Q9Y4C2,Cell.membrane,M,921
O93295,Cell.membrane,M,493
Q9SD53,Cell.membrane,M,476
Q80ZI2,Cell.membrane,M,223
Q14524,Cell.membrane,M,2016
G5EBN9,Cell.membrane,M,600
Q9XIM7,Cell.membrane,M,197
O54982,Cell.membrane,M,1121
Q24210,Cell.membrane,M,898
Q9SVT8,Cell.membrane,M,504
D4AD53,Cell.membrane,M,514
Q42438,Cell.membrane,M,533
Q5QGZ9,Cell.membrane,M,265
Q03770,Cell.membrane,M,852
Q9GKE8,Cell.membrane,M,303
Q8NCG7,Cell.membrane,M,672
Q14246,Cell.membrane,M,886
Q9TV66,Cell.membrane,M,1175
Q8GWJ6,Cell.membrane,M,119
Q923X1,Cell.membrane,M,739
Q8L8Z1,Cell.membrane,M,190
Q949G3,Cell.membrane,M,1436
Q9C6K9,Cell.membrane,M,629
Q70Z44,Cell.membrane,M,454
D2K6F1,Cell.membrane,M,883
Q9LFB8,Cell.membrane,M,570
Q02785,Cell.membrane,M,1511
Q9VWE0,Cell.membrane,M,1282
Q9D1N4,Cell.membrane,M,221
Q8W4I7,Cell.membrane,M,528
Q8K0H1,Cell.membrane,M,567
P22462-2,Cell.membrane,M,635
P22462-3,Cell.membrane,M,613
G5EGT9,Cell.membrane,M,583
Q9SAH0,Cell.membrane,M,443
Q03614,Cell.membrane,M,615
Q9UGT4,Cell.membrane,M,822
Q8BWU1,Cell.membrane,M,147
P25378,Cell.membrane,M,209
Q9H244,Cell.membrane,M,342
P38727,Cell.membrane,M,235
P49238,Cell.membrane,M,355
O24367,Cell.membrane,M,1441
Q96NR3,Cell.membrane,M,888
P04775,Cell.membrane,M,2005
Q08733,Cell.membrane,M,286
Q52085,Cell.membrane,M,320
Q8RX77,Cell.membrane,M,620
P11234,Cell.membrane,M,206
Q9SKA9,Cell.membrane,M,832
P08953,Cell.membrane,M,1097
Q8R4G0,Cell.membrane,M,539
Q9LYU7,Cell.membrane,M,401
Q2EG98,Cell.membrane,M,2201
Q9S752,Cell.membrane,M,388
Q8C8C1,Cell.membrane,M,263
Q5W7F1,Cell.membrane,M,743
Q9JKB0,Cell.membrane,M,910
Q6ZJ91,Cell.membrane,M,396
P78348,Cell.membrane,M,528
P30273,Cell.membrane,M,86
O80662,Cell.membrane,M,266
Q6GTX8,Cell.membrane,M,287
Q9LVI6,Cell.membrane,M,647
Q61088,Cell.membrane,M,537
P43287,Cell.membrane,M,285
P43286,Cell.membrane,M,287
Q63344,Cell.membrane,M,489
Q969I6,Cell.membrane,M,547
Q9ZV87,Cell.membrane,M,284
P53379,Cell.membrane,M,596
Q5ANA3,Cell.membrane,M,1501
Q8VCH2,Cell.membrane,M,221
Q12256,Cell.membrane,M,659
Q9C6B8,Cell.membrane,M,622
P19327,Cell.membrane,M,422
P28566,Cell.membrane,M,365
P28565,Cell.membrane,M,374
P28564,Cell.membrane,M,386
Q07950,Cell.membrane,M,538
Q8R456,Cell.membrane,M,474
Q9UHI7,Cell.membrane,M,598
P43353,Cell.membrane,M,468
P22739,Cell.membrane,M,499
P30530,Cell.membrane,M,894
Q13641,Cell.membrane,M,420
Q9UM73,Cell.membrane,M,1620
Q18PF5,Cell.membrane,M,485
P63138,Cell.membrane,M,474
A9ZSY3,Cell.membrane,M,505
P51172,Cell.membrane,M,638
O81445,Cell.membrane,M,213
Q12303,Cell.membrane,M,508
O14931,Cell.membrane,M,201
G5EG88,Cell.membrane,M,545
Q9LSD8,Cell.membrane,M,120
Q8L7E9,Cell.membrane,M,421
O08603,Cell.membrane,M,253
Q8L796,Cell.membrane,M,754
Q8VYG0,Cell.membrane,M,686
Q95QW4,Cell.membrane,M,561
Q9ZWC8,Cell.membrane,M,1166
Q9LQL2,Cell.membrane,M,614
Q86SQ4,Cell.membrane,M,1221
Q9H665,Cell.membrane,M,355
P18089,Cell.membrane,M,447
Q7XJT7,Cell.membrane,M,465
O73798,Cell.membrane,M,1358
M5A7P9,Cell.membrane,M,832
Q42371,Cell.membrane,M,976
Q9W534,Cell.membrane,M,670
P40043,Cell.membrane,M,161
Q12791,Cell.membrane,M,1236
Q62962,Cell.membrane,M,512
Q4VAE3,Cell.membrane,M,234
Q02013,Cell.membrane,M,269
Q59XM0,Cell.membrane,M,697
Q9Y6L6,Cell.membrane,M,691
A0PJK1,Cell.membrane,M,596
Q9SVQ3,Cell.membrane,M,517
Q9ZUT3,Cell.membrane,M,273
Q8TDU6,Cell.membrane,M,330
Q940Y5,Cell.membrane,M,619
Q00788,Cell.membrane,M,371
Q9JJV4,Cell.membrane,M,327
O88454,Cell.membrane,M,398
O97148,Cell.membrane,M,514
Q3E7D0,Cell.membrane,M,709
Q8WNR0,Cell.membrane,M,189
Q9VSL7,Cell.membrane,M,706
Q9LYN8,Cell.membrane,M,1192
Q4KL25,Cell.membrane,M,219
Q9U298,Cell.membrane,M,474
Q9FWX6,Cell.membrane,M,284
P13498,Cell.membrane,M,195
